,S,B,C,L
2011-01-03,0.07621622,0.32658437,0.08693863,0.5102608
2011-01-04,0.07581398,0.33050957,0.0916036,0.50207293
2011-01-05,0.07633649,0.33239317,0.09142174,0.4998486
2011-01-06,0.07616955,0.3256406,0.09646154,0.50172824
2011-01-07,0.07688906,0.33006012,0.09632219,0.4967287
2011-01-10,0.07701031,0.3269697,0.093827985,0.50219196
2011-01-11,0.076492935,0.32457852,0.09262822,0.5063003
2011-01-12,0.07603006,0.32434806,0.095330335,0.5042916
2011-01-13,0.07608066,0.32687655,0.10054041,0.49650237
2011-01-14,0.0763848,0.3282669,0.09876767,0.49658072
2011-01-18,0.07609949,0.3317306,0.10317813,0.4889917
2011-01-19,0.07633456,0.33329755,0.10596852,0.4843994
2011-01-20,0.07637308,0.32673737,0.09992797,0.49696156
2011-01-21,0.07642738,0.31783214,0.100037955,0.50570256
2011-01-24,0.07624783,0.3185803,0.09895165,0.5062202
2011-01-25,0.076454416,0.3267905,0.10189592,0.4948591
2011-01-26,0.07684015,0.3331514,0.10057211,0.4894364
2011-01-27,0.07612813,0.3282408,0.10550976,0.49012128
2011-01-28,0.076596245,0.33532366,0.10718577,0.4808944
2011-01-31,0.07617901,0.31563067,0.09729504,0.5108953
2011-02-01,0.0751623,0.31185773,0.100592695,0.51238734
2011-02-02,0.07513983,0.32816344,0.111533634,0.48516306
2011-02-03,0.07510573,0.33036962,0.11332397,0.48120064
2011-02-04,0.075113535,0.33380663,0.11800141,0.47307843
2011-02-07,0.075219676,0.33622876,0.12333638,0.46521515
2011-02-08,0.07520754,0.34931222,0.12785722,0.44762298
2011-02-09,0.07452717,0.3510937,0.13517798,0.43920112
2011-02-10,0.07455651,0.35389796,0.1330449,0.43850067
2011-02-11,0.07430003,0.35030955,0.13695148,0.43843892
2011-02-14,0.07429196,0.3646274,0.13780034,0.4232803
2011-02-15,0.07381497,0.3667063,0.13968834,0.41979033
2011-02-16,0.07426714,0.368614,0.1362624,0.42085642
2011-02-17,0.07352985,0.3703974,0.14083111,0.41524166
2011-02-18,0.07335776,0.37190747,0.14284027,0.41189453
2011-02-22,0.07319847,0.37219822,0.14539994,0.4092033
2011-02-23,0.07452834,0.35834354,0.1271472,0.4399809
2011-02-24,0.0735761,0.34151393,0.119007975,0.4659021
2011-02-25,0.07350424,0.3451165,0.11704748,0.46433175
2011-02-28,0.07254469,0.35402372,0.12217256,0.45125905
2011-03-01,0.0724237,0.3588812,0.12539837,0.4432967
2011-03-02,0.072234206,0.34162697,0.1156588,0.47047997
2011-03-03,0.07163488,0.32789293,0.11811957,0.48235267
2011-03-04,0.071292154,0.34416717,0.13370855,0.45083216
2011-03-07,0.072009966,0.34347948,0.12899856,0.45551202
2011-03-08,0.07227854,0.32678315,0.122850254,0.47808808
2011-03-09,0.07237779,0.33196333,0.12890501,0.46675393
2011-03-10,0.07276846,0.33565542,0.12619562,0.4653805
2011-03-11,0.07360057,0.3260367,0.11000921,0.49035358
2011-03-14,0.07320467,0.32425946,0.111480266,0.4910557
2011-03-15,0.07325818,0.31552085,0.107405744,0.50381523
2011-03-16,0.074262284,0.32136938,0.099854335,0.504514
2011-03-17,0.073428944,0.30367362,0.088303514,0.5345939
2011-03-18,0.071777664,0.29906186,0.09173462,0.5374259
2011-03-21,0.07188782,0.30661964,0.0944213,0.5270712
2011-03-22,0.07198654,0.3230181,0.10410224,0.5008931
2011-03-23,0.07201651,0.32436892,0.103539854,0.5000747
