,S,B,C,L
2011-01-03,0.46297705203689343,0.0,0.15184112541694506,0.3851818225461615
2011-01-04,0.44432367144313034,0.0,0.16486037841066542,0.3908159501462043
2011-01-05,0.43764663894269484,4.607859233063394e-18,0.1680936211990189,0.3942597398582862
2011-01-06,0.43434684188402767,2.710505431213761e-20,0.17570194692766392,0.38995121118830844
2011-01-07,0.4411189361446008,5.204170427930421e-18,0.16579796547179268,0.3930830983836065
2011-01-10,0.44367068323182723,9.209144437431367e-18,0.16314003376604105,0.39318928300213174
2011-01-11,0.4512668226113204,3.3494571805255103e-18,0.15730155311558514,0.39143162427309447
2011-01-12,0.4529500112327387,0.0,0.15396350741433987,0.3930864813529215
2011-01-13,0.4581688130912871,5.173843705273929e-18,0.14844366239617773,0.39338752451253517
2011-01-14,0.46795334474982525,6.193001261367283e-18,0.13900314222473897,0.39304351302543583
2011-01-18,0.464298054476647,0.0,0.1364166342834348,0.39928531123991823
2011-01-19,0.49478936244114624,4.644133419029559e-18,0.12172662987081136,0.3834840076880424
2011-01-20,0.484928066475025,1.6595750546489705e-17,0.12321178660916168,0.3918601469158133
2011-01-21,0.48991972390525873,4.276314821174154e-18,0.12017076211740776,0.3899095139773336
2011-01-24,0.5208143095139499,1.6571352580083132e-17,0.0887656743493997,0.3904200161366504
2011-01-25,0.5094730103198765,2.328807028909107e-17,0.09971645866789187,0.3908105310122317
2011-01-26,0.49762646364692914,0.0,0.11287856810817644,0.3894949682448944
2011-01-27,0.45355579471266416,0.0,0.16916610172131835,0.3772781035660175
2011-01-28,0.4567634015992711,0.0,0.15939746871762697,0.38383912968310197
2011-01-31,0.43748778505649305,1.0354977780183822e-17,0.18762860198340284,0.3748836129601041
2011-02-01,0.4301385193894437,3.760485193885599e-18,0.1921265643674615,0.37773491624309485
2011-02-02,0.41330131712317725,7.196391808162072e-18,0.21373692725073712,0.37296175562608563
2011-02-03,0.41999473687250793,1.4013493301000592e-17,0.20694851534573547,0.3730567477817567
2011-02-04,0.4272857233955419,3.953838857288279e-18,0.20047764709291946,0.3722366295115387
2011-02-07,0.45051314113760293,4.137663221146688e-18,0.18874704255776514,0.360739816304632
2011-02-08,0.4467563640249919,0.0,0.20385805571806231,0.3493855802569459
2011-02-09,0.4349231547814596,2.2425423990420577e-18,0.21236996258531812,0.35270688263322225
2011-02-10,0.4377671443901395,0.0,0.21007313709735395,0.35215971851250666
2011-02-11,0.4487679694794285,2.5366942704371787e-17,0.2081510951097537,0.34308093541081786
2011-02-14,0.4583067679071425,5.878282871417806e-18,0.24526206646956664,0.2964311656232908
2011-02-15,0.47072981250367407,0.0,0.24220055700186743,0.28706963049445855
2011-02-16,0.4700833660320992,0.0,0.23708996874194593,0.29282666522595485
2011-02-17,0.46545583191832274,1.5233887556368592e-17,0.23504203718007344,0.2995021309016039
2011-02-18,0.4470495477067855,1.617917632550439e-17,0.24048623858401655,0.31246421370919797
2011-02-22,0.44906593613724505,1.7759008694014558e-17,0.2380531605290898,0.31288090333366514
2011-02-23,0.4318775980466389,0.0,0.2328437816819901,0.33527862027137095
2011-02-24,0.4384005067133189,0.0,0.23035520174669896,0.3312442915399821
2011-02-25,0.43382543825600367,6.6014359777211154e-18,0.23338318426946464,0.3327913774745317
2011-02-28,0.42517690353773585,0.0,0.22215876454394687,0.35266433191831736
2011-03-01,0.42507450372148664,1.940721888749053e-17,0.21694656315436822,0.35797893312414514
2011-03-02,0.4147941523048177,8.659876030350247e-19,0.22526447813416103,0.3599413695610213
2011-03-03,0.40903679740690263,8.51368034489863e-18,0.22672540508666938,0.36423779750642804
2011-03-04,0.4039219662287387,6.451002926288751e-18,0.22790591226073798,0.3681721215105233
2011-03-07,0.40707802059396203,1.4197085347611437e-17,0.22372687112536746,0.3691951082806705
2011-03-08,0.4010692209246015,0.0,0.22682827118534477,0.3721025078900538
2011-03-09,0.40571435614947904,0.0,0.22365908320186925,0.37062656064865174
2011-03-10,0.4092073249940596,1.940552482159602e-17,0.22061063297621822,0.3701820420297222
2011-03-11,0.40187679117401004,8.234007280259055e-17,0.19302071932484724,0.40510248950114275
2011-03-14,0.402582019042917,5.190194384300726e-18,0.18201784922997263,0.4154001317271105
2011-03-15,0.3978134312776461,0.0,0.1886125945874627,0.4135739741348912
2011-03-16,0.37724089153304985,0.0,0.18838985737161437,0.43436925109533586
2011-03-17,0.37912463938402563,0.0,0.18726476398783765,0.43361059662813684
2011-03-18,0.3768186029102518,0.0,0.17742136053925514,0.4457600365504931
2011-03-21,0.37127926883165646,0.0,0.1672664167304928,0.46145431443785073
2011-03-22,0.36653005171113334,1.1674451279378046e-17,0.16901782056644832,0.46445212772241823
2011-03-23,0.3677561667213656,7.962299853921264e-18,0.16792526039626116,0.46431857288237327
2011-03-24,0.364023836940534,9.510746785911513e-19,0.17112225823381438,0.46485390482565164
2011-03-25,0.3655420201129507,9.622294280808852e-19,0.1696082251146945,0.4648497547723548
2011-03-28,0.36527239885314855,3.8573348759259463e-19,0.17038654982924673,0.46434105131760467
2011-03-29,0.3656208100273302,6.990100596491157e-19,0.16509412424958572,0.46928506572308404
2011-03-30,0.3658059347829619,0.0,0.1650215608226295,0.46917250439440855
2011-03-31,0.3593130328156018,1.1769522802098503e-17,0.17410480084264782,0.4665821663417504
