,S,B,C,L
2011-01-03,1.0,2.7755575615628914e-17,2.7755575615628914e-17,0.0
2011-01-04,0.9411861970106377,1.4555414165617897e-17,0.05881380298936243,0.0
2011-01-05,1.0,0.0,6.245004513516506e-17,0.0
2011-01-06,1.0,0.0,6.245004513516506e-17,0.0
2011-01-07,1.0,0.0,6.245004513516506e-17,0.0
2011-01-10,1.0,0.0,6.245004513516506e-17,0.0
2011-01-11,1.0,0.0,6.245004513516506e-17,0.0
2011-01-12,1.0,0.0,6.245004513516506e-17,0.0
2011-01-13,1.0,0.0,6.245004513516506e-17,0.0
2011-01-14,1.0,0.0,6.245004513516506e-17,0.0
2011-01-18,1.0,0.0,6.245004513516506e-17,0.0
2011-01-19,1.0,0.0,6.245004513516506e-17,0.0
2011-01-20,1.0,0.0,6.245004513516506e-17,0.0
2011-01-21,1.0,0.0,6.245004513516506e-17,0.0
2011-01-24,0.9985939804565578,1.2468324983583301e-18,7.8198081690517e-18,0.0014060195434422173
2011-01-25,1.0,0.0,8.131516293641283e-19,3.361026734705064e-17
2011-01-26,0.9256041735539526,0.0,8.863352760068999e-18,0.07439582644604734
2011-01-27,0.7922193544833512,2.202285662861181e-18,0.10111961980738832,0.10666102570926049
2011-01-28,0.7795860183696852,1.6220680939919851e-18,0.02736270061504446,0.19305128101527033
2011-01-31,0.4293670012627818,0.30495681516594747,0.2656761835712708,0.0
2011-02-01,0.49004851213625794,3.2390539903004445e-17,0.3903546057952023,0.11959688206853973
2011-02-02,0.5189310241990633,0.0,0.36136780893779513,0.11970116686314157
2011-02-03,0.401379487651878,2.6749300474290805e-18,0.5019722249909239,0.0966482873571982
2011-02-04,0.4682394955569782,4.3503612170980865e-18,0.4885586470245268,0.043201857418495096
2011-02-07,0.6293175004379934,0.0,0.34913616238296696,0.02154633717903955
2011-02-08,0.648551955527177,0.0,0.3019877123922048,0.0494603320806181
2011-02-09,0.7363795166653829,3.415236843329339e-18,0.2636204833346171,0.0
2011-02-10,0.7194936206796754,9.124238907823323e-18,0.2805063793203247,2.473336205982557e-19
2011-02-11,0.7361580216330249,0.0,0.26384197836697504,9.530814722505387e-18
2011-02-14,0.7494870257792395,2.3852447794681098e-18,0.25051297422076046,8.348356728138384e-18
2011-02-15,0.7428988868211857,0.0,0.25710111317881434,9.540979117872439e-18
2011-02-16,0.8050888315839974,4.445228907190568e-18,0.19491116841600262,0.0
2011-02-17,0.7992809318454202,0.0,0.20071906815457985,2.7321894746634712e-17
